episode,return,length
1235,10.0,181
1236,49.0,366
1237,43.0,341
1238,25.0,262
1239,0.0,127
1240,-5.0,99
1241,45.0,366
1242,90.0,591
1243,45.0,366
1244,-15.0,43
1245,-10.0,71
1246,72.0,493
1247,28.0,262
1248,5.0,154
1249,32.0,288
1250,-10.0,71
1251,16.0,208
1252,69.0,468
1253,21.0,235
1254,5.0,154
1255,38.0,314
1256,16.0,208
1257,56.0,417
1258,-5.0,99
1259,61.0,443
1260,63.0,443
1261,2.0,127
1262,-8.0,71
1263,0.0,127
1264,6.0,154
1265,51.0,392
1266,62.0,443
1267,-10.0,71
1268,36.0,314
1269,20.0,235
1270,-10.0,71
1271,22.0,235
1272,56.0,417
1273,-9.0,71
1274,46.0,366
1275,-5.0,99
1276,0.0,127
1277,31.0,288
1278,5.0,154
1279,-10.0,71
1280,91.0,591
1281,6.0,138
1282,66.0,468
1283,-10.0,71
1284,20.0,235
1285,40.0,341
1286,-15.0,43
1287,20.0,235
1288,-4.0,99
1289,-15.0,43
1290,15.0,208
1291,0.0,127
1292,0.0,127
1293,21.0,235
1294,15.0,208
1295,10.0,181
1296,22.0,235
1297,42.0,341
1298,-15.0,43
1299,-5.0,99
1300,-5.0,80
1301,17.0,208
1302,-15.0,43
1303,16.0,208
1304,23.0,235
1305,16.0,208
1306,38.0,314
1307,71.0,493
1308,-10.0,54
1309,17.0,190
1310,-5.0,84
1311,8.0,154
1312,-5.0,99
1313,5.0,154
1314,-15.0,43
1315,-15.0,43
1316,-10.0,71
1317,26.0,247
1318,-5.0,80
